Timestamp,Your Faculty :,Write your ID: ,What is your department? ,What is your level? ,gender,What is your CGPA? ,How well do you understand the theoretical part of a course? ,The provided material (Only by doctors or teaching assistants) is straight to the point and clear. ,The provided material (Only by doctors or teaching assistants) Include enough examples and practice materials ,The provided material (Only by doctors or teaching assistants) is overall sufficient and reliable for studying. ,Do you have an idea to improve the quality of the provided material? ,Course content is suitable for the semester timeframe. ,"If you disagree with the previous question, what do you think about the content? ",The assignments/projects are directly related to the course content and are not out of scope. ,The assignments/projects successfully measure your acquired knowledge not your copying abilities. ,The project discussions provide helpful notes and evaluation. ,Attending lectures substantially improves your level of understanding of the course content. ,Attending Labs/Classes substantially improves your level of understanding of the course content. ,What would you suggest to enhance your learning experience inside campus? ,How cooperative are the doctors? ,How cooperative are the teaching assistants? ,The doctors and teaching assistants usually use interactive teaching techniques. ,Do you think interactive techniques can improve your performance? ,"According to your major, the faculty provides the best set of courses to qualify you for your desired professional role. ","If you disagree with the previous question, How much do you think this set of courses qualifies you for the role. ","List the courses you think are crucial for your major and not provided by the faculty, if there’s any ","Faculty courses provide you with soft skills like teamwork, communication, etc. ","If you agree to the previous question, list some of these skills. ",Do you think your learning environment can affect your performance? ,The lecture rooms/Labs are clean and organized. ,The lecture rooms/Labs are big enough for the number of students. ,The lecture rooms/Labs have suitable and clear board/screens to present the materials. ,The halls are equipped for gaps and breaks. ,What would you suggest to improve your experience inside campus? ,Rate your overall satisfaction with our faculty courses. ,Semester time is a good period for the courses. ,Interactive learning techniques are effective techniques. ,Teamwork is one of the soft skills can be provided by courses. 
5/3/2023 0:33:23,,22010353,Data Science,1,Female,3.3 : 4,well enough to pass.,Agree,Maybe,Maybe,No,Agree.,I agree with the previous question.,Disagree,Maybe,Disagree,No,No,Having more space ,"Very cooperative online, not so cooperative in campus.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,No,30-60%,Not now,No,Not agree,Yes,Yes,No,Yes,No,Having more space ,60-90%,Agree,Maybe,Disagree
5/3/2023 0:38:26,,22011557,Data Science,1,Male,2 : 2.9,well enough to pass.,Maybe,Maybe,Maybe,Online lectures,Maybe,it is too short for the semester.,Agree,Maybe,Maybe,No,Yes,Fun activities about the lectures and there uses in real world ,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,60-90%,Programming,No,Independence ,Yes,No,No,Yes,No,More vivid colours ,60-90%,Maybe,Agree,Maybe
5/3/2023 1:20:59,,9999999999,Data Science,1,Female,3.3 : 4,well enough to pass.,Maybe,Agree,Maybe,More accurate in explanation ,Disagree.,It is too long for the semester.,Maybe,Maybe,Agree,Yes,Yes,I have no idea ,"Very cooperative online, not so cooperative in campus.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,We have only 12 courses for fata science they are not enough for learning about data science ,Yes,Having the courage to speak in crowdness,Yes,Yes,No,No,Yes,No idea,60-90%,Maybe,Agree,Agree
5/3/2023 3:10:14,,,Data Science,3,Male,3.3 : 4,well enough to pass.,Maybe,Disagree,Maybe,"yes, by being more concened with practical ",Agree.,I agree with the previous question.,Agree,Maybe,Maybe,No,No,more qualified doctors and Assistants,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,i think all the courses are provided but are teached in a wrong way,Yes,,Yes,Yes,No,Yes,No,halls for breaks,60-90%,Agree,Maybe,Agree
5/3/2023 3:44:05,,,Data Science,2,Female,3 : 3.2,well enough to pass.,Disagree,Disagree,Disagree,"More examples, More understandable materials",Maybe,I agree with the previous question.,Disagree,Disagree,Agree,Yes,Yes,Pay more attention to simplifying the explanation,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,Yes,90-100% (agree with the previous question).,Nothing,Yes,"cooperation
Positive competition
communication
Self-confidence",Yes,Yes,No,Yes,No,Increasing the number of screens and halls and allocating places for students for breaks and gaps,60-90%,Maybe,Agree,Agree
5/3/2023 18:13:57,,,Data Science,2,Male,2 : 2.9,well enough to pass.,Maybe,Disagree,Disagree,Get more of amr ameen and habrok,Maybe,It is too long for the semester.,Disagree,Disagree,Agree,Yes,Yes,Get more of amr ameen and habrok (aka doctors that understand there subject),"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,More data science options ,Yes,"Teamwork (maybe) , and ... yeah thats it.",Yes,No,Yes,Yes,No,Better place to wait in between lectures (like a cafe or a bigger library than the one we have etc.),0-30%,Maybe,Agree,Agree
5/3/2023 20:34:14,,,Data Science,1,Male,3.3 : 4,well enough to pass.,Maybe,Agree,Disagree,A bout teaching these courses well and taught in an organized way  because I feel doctors and assistant don't care about all students understand these materials or not and l note that most of doctors and assistant explain in an unorganized and random way ,Agree.,I agree with the previous question.,Agree,Agree,Maybe,Yes,No,By collecting all the materials and everything related to the college in one place such as an application or website.,"Very cooperative in campus, not so cooperative online.",Never cooperative.,Disagree,Yes,Yes,90-100% (agree with the previous question).,I think about this point. Faculty has designed  everything about courses is well but implimantion and ways to explain courses need something new and interactive and prctical,Yes,"Teamwork, communication and most of student have a same mindsets ",Yes,No,No,No,Yes,A system that is implemented in a way that is suitable for everyone ,30-60%,Agree,Agree,Agree
5/4/2023 0:48:55,,,Data Science,1,Male,3 : 3.2,well enough to pass.,Maybe,Maybe,Agree,No,Agree.,I agree with the previous question.,Agree,Agree,Maybe,No,Yes,I don't know,Always cooperative.,Always cooperative.,Some of them,Yes,No,60-90%,C++,Yes,Cooperation and problem solving skills,Yes,Yes,No,No,Yes,To make a playing court for example,60-90%,Agree,Agree,Agree
5/4/2023 13:52:02,,,Data Science,2,Female,2 : 2.9,well enough to pass.,Agree,Maybe,Maybe,no,Agree.,I agree with the previous question.,Disagree,Disagree,Maybe,Yes,Yes,.,Never cooperative.,Always cooperative.,Some of them,Yes,Yes,60-90%,.,No,disagree ,No,No,No,No,No,.,60-90%,Maybe,Agree,Maybe
5/5/2023 14:58:54,,,Data Science,2,Female,3.3 : 4,well enough to pass.,Maybe,Disagree,Disagree,To have books of more practice examples instead of PDFs which are not sufficient ,Maybe,It is too long for the semester.,Agree,Disagree,Disagree,Yes,Yes,Having less content of the courses or the same content in longer time with more practice ,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,60-90%,No I think they are good,No,Working under stress is the only soft skill I got,Yes,Yes,No,No,No,"To have more areas to study , to take break",60-90%,Disagree,Agree,Maybe
5/5/2023 18:09:29,,,Data Science,3,Female,3.3 : 4,well enough to pass.,Agree,Maybe,Agree,the material may include some extra resources for further reading,Agree.,I agree with the previous question.,Agree,Maybe,Disagree,Yes,Yes,practical labs should have smaller number students for better understanding and for better communication with the teaching assistant,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,No,30-60%,"Data Ethics , Deep learning and the other courses are provided by the faculty but needs improvement in it's content",Yes,"teamwork 
communication 
leadership 
time management
adaptability",Yes,Yes,No,No,No,The lecture rooms and labs  should contain less number of students ,30-60%,Agree,Agree,Agree
5/5/2023 22:13:45,,,Data Science,3,Female,3.3 : 4,well enough to pass.,Maybe,Disagree,Maybe,no,Maybe,It is too long for the semester.,Disagree,Maybe,Disagree,No,No,good internet connection ,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,No,30-60%,security courses ,No,,Yes,No,No,No,No,new seats not old and broken,30-60%,Maybe,Maybe,Agree
5/5/2023 23:51:30,,,Data Science,3,Female,3 : 3.2,well enough to pass.,Disagree,Agree,Maybe,No,Maybe,It is too long for the semester.,Agree,Agree,Agree,Yes,Yes,No,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,90-100% (agree with the previous question).,No,Yes,"Teamwork,  communication,  help the other ",Yes,Yes,No,Yes,No,We need enough halls,60-90%,Agree,Agree,Agree
5/6/2023 1:09:13,,,Data Science,3,Female,2 : 2.9,I don’t understand the theoretical part.,Maybe,Agree,Disagree,No,Agree.,I agree with the previous question.,Disagree,Disagree,Agree,No,No,Nothing ,"Very cooperative online, not so cooperative in campus.",Always cooperative.,Some of them,Yes,No,0-30%,Problem solving ,No,,Yes,Yes,No,No,No,Attending lectures ,0-30%,Disagree,Disagree,Maybe
5/6/2023 13:04:56,,,Cyber Security,2,Male,3 : 3.2,I don’t understand the theoretical part.,Maybe,Disagree,Disagree,we need doctors to be qualified to teach the content first ,Maybe,I agree with the previous question.,Maybe,Maybe,Maybe,No,No,we need more engineers be qualified ,Never cooperative.,"Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,every department is difference ,No,,No,No,No,No,No,we need curtains in the some rooms ,30-60%,Maybe,Maybe,Maybe
5/6/2023 16:36:07,Engineering ,,,5,Female,2 : 2.9,well enough to pass.,Agree,Maybe,Agree,No,Agree.,it is too short for the semester.,Agree,Agree,Maybe,No,Yes,Nothing ,Always cooperative.,Always cooperative.,Agree,No,Yes,30-60%,History ,No,Disagree ,No,Yes,Yes,No,Yes,Nothing ,30-60%,Maybe,Maybe,Maybe
5/6/2023 16:51:52,Faculty of Computers and Data Science ,,,3,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,No,Agree.,I agree with the previous question.,Maybe,Maybe,Maybe,Yes,Yes,I don't know ,Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,I don't know ,No,,Yes,Yes,Yes,Yes,Yes,I don't know ,30-60%,Maybe,Maybe,Maybe
5/6/2023 16:57:24,Faculty of business English section ,,,4,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,No,Maybe,It is too long for the semester.,Agree,Agree,Maybe,No,No,More explaining instead of just reading the content of the course,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,Yes,90-100% (agree with the previous question).,Integrated marketing ,Yes,,Yes,No,No,No,No,Make better use of the faculty s financial resources to improve classes and campus,60-90%,Agree,Agree,Agree
5/6/2023 18:29:28,faculty of commerce,,,2,Male,2 : 2.9,well enough to pass.,Maybe,Agree,Maybe,No,Maybe,I agree with the previous question.,Maybe,Agree,Maybe,Yes,Yes,No comment,Never cooperative.,"Very cooperative online, not so cooperative in campus.",Disagree,Yes,No,30-60%,. ,No,Agree,Yes,No,No,Yes,No,. ,30-60%,Maybe,Agree,Maybe
5/6/2023 19:06:28,Engineering ,,,2,Male,3.3 : 4,well enough to pass.,Agree,Agree,Maybe,No,Maybe,It is too long for the semester.,Maybe,Maybe,Agree,No,Yes,N/A,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,No,60-90%,N/A,Yes,,Yes,Yes,No,No,Yes,N/A,60-90%,Maybe,Maybe,Agree
5/6/2023 19:21:49,Alexandria higher institute of engineering and technology,,,1,Male,1 : 1.9,well enough to pass.,Maybe,Maybe,Maybe,I stop thinking,Maybe,I agree with the previous question.,Maybe,Maybe,Maybe,No,No,I have no idea,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,I have no idea,Yes,No idea,No,Yes,Yes,Yes,No,No idea,30-60%,Disagree,Maybe,Maybe
5/6/2023 19:51:56,Science,,,2,Male,2 : 2.9,well enough to pass.,Maybe,Agree,Maybe,No,Agree.,I agree with the previous question.,Maybe,Maybe,Agree,Yes,No,I don't suggest,Always cooperative.,Always cooperative.,Some of them,Yes,Yes,60-90%,Phonetics ,Yes,Cooperation and communication skills,No,Yes,Yes,Yes,No,I wouldn't,60-90%,Maybe,Maybe,Maybe
5/6/2023 20:18:10,Faculty Of science ,,,2,Male,3.3 : 4,well enough to pass.,Agree,Agree,Maybe,يقلل الكمية النظري و يزود العملي,Agree.,It is too long for the semester.,Agree,Disagree,Maybe,Yes,Yes,تعاون اكثر بين الدكاترة و الطلاب,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Disagree,Yes,No,30-60%,Fundamentals of programing,No,,Yes,Yes,Yes,No,No,Cleaner and newer equipments,30-60%,Maybe,Agree,Disagree
5/6/2023 21:28:45,Medicine,,,3,Female,3.3 : 4,Very well.,Maybe,Maybe,Disagree,Its not about the material its about the doctors themselves they have to improve their teaching skills,Agree.,I agree with the previous question.,Agree,Maybe,Agree,Yes,Yes,.,Always cooperative.,Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,.,Yes,"Presentation
Teamwork ",Yes,Yes,No,No,No,.,60-90%,Agree,Agree,Agree
5/6/2023 21:44:39,Law,,,3,Female,3 : 3.2,Very well.,Agree,Agree,Agree,No,Agree.,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,I can’t suggest,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Agree,Yes,Yes,90-100% (agree with the previous question).,No,Yes,,Yes,Yes,Yes,Yes,Yes,I can’t suggest,90-100%,Agree,Agree,Agree
5/6/2023 21:45:06,Commerce english section,,,3,Female,3 : 3.2,well enough to pass.,Agree,Disagree,Disagree,I have but they willn't do,Agree.,I agree with the previous question.,Agree,Disagree,Agree,Yes,Yes,Nothing💙,Always cooperative.,Never cooperative.,Some of them,Yes,No,30-60%,We need more practicl traning ,Yes,Know more people,Yes,Yes,Yes,Yes,No,Nothing,60-90%,Agree,Agree,Agree
5/7/2023 11:26:27,Pharmacy ,,,3,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,No,Disagree.,It is too long for the semester.,Agree,Maybe,Maybe,No,Yes,No suggestions ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,30-60%,No ,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30-60%,Maybe,Maybe,Maybe
5/7/2023 11:30:53,Computer and information technology ,,,3,Male,3.3 : 4,well enough to pass.,Maybe,Agree,Maybe,Not really ,Agree.,I agree with the previous question.,Agree,Disagree,Maybe,No,Yes,Just more practice on everything that we got through that course ,"Very cooperative online, not so cooperative in campus.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,90-100% (agree with the previous question).,Not really,No,,Yes,Yes,Yes,Yes,Yes,More assistance from doctors ,90-100%,Maybe,Agree,Agree
5/7/2023 12:02:48,computers and data science,,,3,Female,3.3 : 4,I don’t understand the theoretical part.,Maybe,Disagree,Disagree,it is good if the doctor can expalin the matrial in the way he/she explain the lecture,Maybe,it is too short for the semester.,Disagree,Disagree,Disagree,Yes,No,it will be better if the exersices in labs and examples in the lectures would be more related to the real life and labor market,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,there is no specific contents expect human right subject and other wise but courses are not ordered,Yes,,Yes,Yes,No,Yes,Yes,"I suggest that the schedule of study materials and lectures be organized in a way that preserves the student's time, and that the academic registration of the subjects be in an organized manner",0-30%,Agree,Agree,Agree
5/7/2023 12:18:33,Faculty of computers and data science ,,,4,Female,3.3 : 4,well enough to pass.,Agree,Maybe,Disagree,No,Agree.,it is too short for the semester.,Maybe,Maybe,Maybe,Yes,No,Nothing ,"Very cooperative online, not so cooperative in campus.","Very cooperative in campus, not so cooperative online.",Agree,Yes,Yes,60-90%,. ,No,. ,Yes,No,Yes,Yes,No,. ,30-60%,Agree,Maybe,Maybe
5/7/2023 12:24:20,Science ,,,2,Male,3.3 : 4,well enough to pass.,Maybe,Maybe,Agree, No,Agree.,I agree with the previous question.,Agree,Agree,Agree,No,No,  I want cofe shops ,Always cooperative.,Always cooperative.,Some of them,Yes,No,60-90%,I don't know ,No,,Yes,No,No,Yes,No,Cofe shops ,30-60%,Disagree,Agree,Maybe
5/7/2023 12:49:29,Engineering,,,5,Male,2 : 2.9,well enough to pass.,Maybe,Agree,Maybe,No,Agree.,I agree with the previous question.,Agree,Maybe,Disagree,No,Yes,Enhance practicals in labs ,"Very cooperative online, not so cooperative in campus.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,60-90%,"Cybersecurity, cloud, mobile app",Yes,,Yes,No,Yes,Yes,Yes,Nothing,60-90%,Maybe,Agree,Agree
5/7/2023 13:08:28,Pharmacy ,,,2,Female,3.3 : 4,well enough to pass.,Maybe,Maybe,Agree,May be doctors could do more tutorials to help us know how to study for the exam.,Agree.,I agree with the previous question.,Agree,Maybe,Agree,Yes,Yes,Time of lecture could be less and increase the time of questions and tutorials.,Always cooperative.,Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,No,Yes,"I agree, but we should increase the projects and assignments that need this skills.",Yes,Yes,Yes,Yes,Yes,I don't know ,60-90%,Maybe,Agree,Agree
5/7/2023 13:12:58,حاسبات وعلوم البيانات ,,,1,Male,3.3 : 4,Very well.,Agree,Agree,Agree,يخلوا الماتريال منظمه اكتر و يكون في اجابات لل شيتس,Agree.,I agree with the previous question.,Agree,Agree,Disagree,No,No,عدم وجود زحمه و تشغيل الميكروفون العطلان و يكون الحبر بتاع قلم السبوره باين,Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,Python and others,No,,Yes,No,No,Yes,No,يبقى القلم بتاع السبوره حبره كويس,60-90%,Agree,Agree,Agree
5/7/2023 13:15:58,Faculty of engineering,,,2,Male,3.3 : 4,well enough to pass.,Maybe,Agree,Maybe,Adding more examples and provide recommendations for in-depth explaining,Agree.,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,None,Always cooperative.,"Very cooperative in campus, not so cooperative online.",Agree,Yes,Yes,90-100% (agree with the previous question).,None,Yes,"Teamwork, communication and respecting deadlines.",Yes,Yes,Yes,Yes,Yes,Nothing,60-90%,Agree,Agree,Agree
5/7/2023 13:25:31,Engineering,,,4,Male,2 : 2.9,well enough to pass.,Maybe,Maybe,Disagree,".Decrease the number of the students accepted into the faculty for the following reasons:

.Numbers in labs were too much that we couldn't understand or do the experiments quite well.

.Number of projects required to be corrected by the faculty member was too high due to our increased numbers so it was hard to provide a personalised feedback.
----
.Not enough projects, which should have took a more serious part of the curriculum.

.Too much mathematical problems while lacking in terms of translating these problems into real-life scenarios, and less emphasis on the actual technical, scientific knowledge, and understanding the results.
So you would solve a design problem but won't understand if the thickness you calculated is suitable or not.

.You made a design while they select the material for you, however part of designing is making you search for the material which is suitable for that specific application.",Agree.,I agree with the previous question.,Agree,Disagree,Disagree,Yes,Yes,"Decrease the number of students in each section in order to ease communication.

Provide better air conditioning.

Provide clear instructions/schedule on an official website/group (the admin is to be a faculty member not a student), taking in consideration the holidays, so it won't come as a surprise, and forcing us to take multiple lectures before the exam, or even erasing the content completely.",Always cooperative.,Always cooperative.,Disagree,Yes,Yes,90-100% (agree with the previous question).,"The courses are fine, it's their supplementary labs, projects and problem sets which are lack luster, making them difficult to truly grasp the knowledge.",No,,Yes,Yes,No,No,Yes,I cannot think of any besides what I stated before.,30-60%,Agree,Agree,Agree
5/7/2023 14:16:12,Tourism and hotel ,,,3,Male,2 : 2.9,well enough to pass.,Agree,Agree,Maybe,Spreading JoY ,Maybe,I agree with the previous question.,Maybe,Maybe,Maybe,Yes,Yes,Tell my friends about the course ,"Very cooperative online, not so cooperative in campus.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,Yes,30-60%,Marketing ,Yes,,Yes,Yes,Yes,Yes,Yes,Upgrade on your job,60-90%,Agree,Agree,Agree
5/7/2023 15:54:40,Law,,,3,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,Nothing ,Maybe,I agree with the previous question.,Maybe,Maybe,Maybe,Yes,Yes,Nothing ,Always cooperative.,Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,English skills ,Yes,Cooperation,Yes,Yes,Yes,Yes,Yes,Nothing ,90-100%,Maybe,Maybe,Maybe
5/7/2023 19:16:11,Computer and data science ,,,2,Female,2 : 2.9,well enough to pass.,Maybe,Maybe,Maybe,No,Maybe,It is too long for the semester.,Maybe,Maybe,Maybe,No,No,I don't have no idea ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,0-30%,No thing ,Yes,,Yes,Yes,No,Yes,Yes,I don't know ,0-30%,Maybe,Maybe,Maybe
5/7/2023 19:28:01,Business ,,,2,Male,3 : 3.2,well enough to pass.,Agree,Agree,Maybe,Trying to send it easily and make it available for all ,Maybe,It is too long for the semester.,Maybe,Disagree,Agree,Yes,Yes,Trying to get real training in the field of studying and make some fun while studying in the university ,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Agree,Yes,No,60-90%,A lot of courses in accounting field ,Yes,"Leadership, creativity , teamwork , good research, good communication ",Yes,No,Yes,No,No,No idea ,30-60%,Maybe,Agree,Agree
5/7/2023 19:55:37,Data and computer science,,,3,Male,2 : 2.9,well enough to pass.,Maybe,Maybe,Agree,Make it summarized and clear with enough examples and flow charts ,Disagree.,It is too long for the semester.,Maybe,Disagree,Maybe,Yes,Yes,Take care of the practice part more than theoritical part ,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,No,30-60%,.,No,.,Yes,Yes,No,Yes,No,Make enough place to rest between lectures and laps ,30-60%,Maybe,Agree,Maybe
5/7/2023 20:42:15,Computer and Data science ,,,2,Male,2 : 2.9,well enough to pass.,Maybe,Agree,Maybe,No,Disagree.,It is too long for the semester.,Maybe,Agree,Agree,No,Yes,No idea,Always cooperative.,"Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,.,Yes,Teamwork ,Yes,No,Yes,Yes,No,No idea ,60-90%,Maybe,Agree,Agree
5/8/2023 0:55:09,Faculty of engineering ,,,2,Male,3 : 3.2,well enough to pass.,Disagree,Disagree,Disagree,..,Disagree.,I agree with the previous question.,Disagree,Disagree,Maybe,Yes,Yes,.,Never cooperative.,Never cooperative.,Disagree,Yes,No,0-30%,.,No,.,Yes,No,No,No,No,.,0-30%,Disagree,Maybe,Maybe
5/8/2023 1:01:14,Engineering,,,3,Male,2 : 2.9,well enough to pass.,Maybe,Maybe,Maybe,No,Maybe,It is too long for the semester.,Maybe,Maybe,Maybe,Yes,Yes,No,Never cooperative.,Never cooperative.,Some of them,No,No,30-60%,.,No,,No,Yes,No,Yes,No,.,0-30%,Maybe,Maybe,Maybe
5/8/2023 1:04:31,Faculty of computer and data science ,,,3,Female,3.3 : 4,well enough to pass.,Disagree,Disagree,Disagree,I think it should be clarified and easy to understand ,Disagree.,It is too long for the semester.,Agree,Agree,Agree,Yes,No,I think we should answer more exercises in labs and sections ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,60-90%,Courses for software engineering ,No,,Yes,No,Yes,No,Yes,I suggest attending activities to improve personal skills ,30-60%,Maybe,Agree,Agree
5/8/2023 1:09:44,medicine,,,4,Female,Less than 1,I don’t understand the theoretical part.,Disagree,Disagree,Disagree,.,Disagree.,it is too short for the semester.,Disagree,Disagree,Disagree,No,No,.,Never cooperative.,Never cooperative.,Disagree,No,No,0-30%,.,No,ز,No,No,No,No,No,.,0-30%,Disagree,Disagree,Disagree
5/8/2023 1:11:07,Faculty of engineering ,,,2,Male,Less than 1,well enough to pass.,Disagree,Disagree,Maybe,لو يرشحوا فيديوز من جامعات كويسة نسمعها و المحاضرة الي في الكلية تكون للمناقشة و تبادل الافكار يبقى احسن كتير ,Maybe,I agree with the previous question.,Agree,Maybe,Maybe,No,No,عايزين علم ينفع ,Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,.,No,.,No,No,No,No,No,.,90-100%,Disagree,Disagree,Disagree
5/8/2023 1:12:29,Education ,,,3,Male,3.3 : 4,Very well.,Agree,Maybe,Agree,Use the technology ,Agree.,it is too short for the semester.,Maybe,Maybe,Maybe,No,Yes,Jgsksjshhakakakak,"Very cooperative online, not so cooperative in campus.","Very cooperative online, not so cooperative in campus.",Some of them,No,Yes,0-30%,Khsfskskshhahs,Yes,Hagsksh,No,Yes,Yes,Yes,No,Jgajagahshaah,0-30%,Maybe,Agree,Maybe
5/8/2023 1:19:40,computer science ,,,2,Male,3.3 : 4,well enough to pass.,Agree,Maybe,Disagree,no,Disagree.,It is too long for the semester.,Disagree,Maybe,Disagree,No,No,nothing,"Very cooperative online, not so cooperative in campus.","Very cooperative online, not so cooperative in campus.",Disagree,Yes,No,30-60%,nothing ,No,,Yes,No,No,Yes,Yes,nothing ,30-60%,Maybe,Maybe,Maybe
5/8/2023 1:24:04, pharmacy,,,4,Female,3 : 3.2,well enough to pass.,Maybe,Disagree,Disagree,.,Agree.,I agree with the previous question.,Disagree,Maybe,Disagree,Yes,Yes,.,Never cooperative.,"Very cooperative in campus, not so cooperative online.",Disagree,Yes,No,30-60%,-,No,disagree,Yes,No,No,Yes,No,-,0-30%,Maybe,Agree,Agree
5/8/2023 1:25:44,Engineering ,,,3,Male,2 : 2.9,I don’t understand the theoretical part.,Disagree,Disagree,Disagree,Unfortunately no,Disagree.,It is too long for the semester.,Maybe,Disagree,Maybe,No,No,Forcing all teaching staff to get a feedback from the students to measure how far the students satisfy of the educational process ,Never cooperative.,"Very cooperative online, not so cooperative in campus.",Disagree,Yes,No,30-60%,More practical subjects,Yes,"Communication skills
Critical thinking ",Yes,No,Yes,No,No,I have no idea ,0-30%,Disagree,Agree,Agree
5/8/2023 4:41:54,Faculty of engineering alexandria ,,,2,Male,3 : 3.2,Very well.,Maybe,Disagree,Maybe,"Not idea but when the dr explain the chp with passion to make the students understand, differs ",Maybe,It is too long for the semester.,Agree,Maybe,Maybe,Yes,Yes,More practical projects ,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,Humanities,Yes,Teamwork ,Yes,No,Yes,Yes,Yes,Large break in the middle of the day without gaps between lecs or loecs off,60-90%,Maybe,Agree,Agree
5/8/2023 4:48:27,Agriculture engineering ,,,2,Female,1 : 1.9,well enough to pass.,Maybe,Maybe,Agree,Books and work shop,Maybe,It is too long for the semester.,Maybe,Agree,Disagree,Yes,No,...,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,No,30-60%,Maybe ,No,Disagree ,No,Yes,Yes,Yes,No,Learning soft skills ,60-90%,Maybe,Agree,Maybe
